"","d$nombre_act","d$latitud","d$longitud"
"494","Bufetes jurídicos",19.41958672,-99.15744207
"495","Bufetes jurídicos",19.38609087,-99.15189448
"496","Bufetes jurídicos",19.39486195,-99.17422761
"497","Bufetes jurídicos",19.42618366,-99.17723709
"498","Bufetes jurídicos",19.42578368,-99.15210233
"499","Bufetes jurídicos",19.38368429,-99.17482595
"500","Bufetes jurídicos",19.38581386,-99.17089961
"501","Bufetes jurídicos",19.38561996,-99.1593139
"502","Bufetes jurídicos",19.42011452,-99.16689439
"503","Bufetes jurídicos",19.37686818,-99.17228064
"504","Bufetes jurídicos",19.4374586,-99.16226796
"505","Bufetes jurídicos",19.41596655,-99.21162712
"506","Bufetes jurídicos",19.42444444,-99.20427137
"507","Bufetes jurídicos",19.4049366,-99.15846427
"508","Bufetes jurídicos",19.36950617,-99.18280347
"509","Bufetes jurídicos",19.39469531,-99.17352978
"510","Bufetes jurídicos",19.40225616,-99.18141008
"511","Bufetes jurídicos",19.40389474,-99.24030181
"512","Bufetes jurídicos",19.42407129,-99.16664686
